# label,path,opt,kind,source
# label  - nazwa instancji w wynikach
# path   - sciezka do pliku TSPLIB/ATSP wzgledem katalogu projektu
# opt    - znana wartosc optimum / najlepszej potwierdzonej trasy
# kind   - grupa danych: SYM, ASYM albo VLSI
# source - krotka etykieta zrodla do pozniejszego raportu
burma14,data/tsplib/burma14.tsp,3323,SYM,TSPLIB
ulysses22,data/tsplib/ulysses22.tsp,7013,SYM,TSPLIB
berlin52,data/tsplib/berlin52.tsp,7542,SYM,TSPLIB
eil76,data/tsplib/eil76.tsp,538,SYM,TSPLIB
kroA100,data/tsplib/kroA100.tsp,21282,SYM,TSPLIB
ch130,data/tsplib/ch130.tsp,6110,SYM,TSPLIB
rat195,data/tsplib/rat195.tsp,2323,SYM,TSPLIB
a280,data/tsplib/a280.tsp,2579,SYM,TSPLIB
pcb442,data/tsplib/pcb442.tsp,50778,SYM,TSPLIB
att532,data/tsplib/att532.tsp,27686,SYM,TSPLIB
rat783,data/tsplib/rat783.tsp,8806,SYM,TSPLIB
pr1002,data/tsplib/pr1002.tsp,259045,SYM,TSPLIB
pr2392,data/tsplib/pr2392.tsp,378032,SYM,TSPLIB
ftv33,data/tsplib/ftv33.atsp,1286,ASYM,TSPLIB_ATSP
ft53,data/tsplib/ft53.atsp,6905,ASYM,TSPLIB_ATSP
ftv70,data/tsplib/ftv70.atsp,1950,ASYM,TSPLIB_ATSP
kro124p,data/tsplib/kro124p.atsp,36230,ASYM,TSPLIB_ATSP
rbg323,data/tsplib/rbg323.atsp,1326,ASYM,TSPLIB_ATSP
xqf131,data/vlsi/xqf131.tsp,564,VLSI,Waterloo_VLSI
xqg237,data/vlsi/xqg237.tsp,1019,VLSI,Waterloo_VLSI
pma343,data/vlsi/pma343.tsp,1368,VLSI,Waterloo_VLSI
pka379,data/vlsi/pka379.tsp,1332,VLSI,Waterloo_VLSI
bcl380,data/vlsi/bcl380.tsp,1621,VLSI,Waterloo_VLSI
xql662,data/vlsi/xql662.tsp,2513,VLSI,Waterloo_VLSI
lim963,data/vlsi/lim963.tsp,2789,VLSI,Waterloo_VLSI
dka1376,data/vlsi/dka1376.tsp,4666,VLSI,Waterloo_VLSI
djc1785,data/vlsi/djc1785.tsp,6115,VLSI,Waterloo_VLSI
xpr2308,data/vlsi/xpr2308.tsp,7219,VLSI,Waterloo_VLSI
